2026-03-08 20:19:19 | Suspicion:71.0% | CPU:13.0% MEM:52.6% PROC:721 | Rate:0.00 Gap:0.000
2026-03-08 20:19:24 | Suspicion:83.0% | CPU:24.0% MEM:52.8% PROC:724 | Rate:0.00 Gap:0.000
2026-03-08 20:19:29 | Suspicion:73.0% | CPU:11.7% MEM:52.7% PROC:719 | Rate:0.00 Gap:0.000
2026-03-08 20:19:34 | Suspicion:56.0% | CPU:12.1% MEM:52.7% PROC:720 | Rate:0.80 Gap:0.381
2026-03-08 20:19:39 | Suspicion:60.0% | CPU:20.7% MEM:52.7% PROC:720 | Rate:0.40 Gap:0.408
2026-03-08 20:19:44 | Suspicion:73.0% | CPU:10.1% MEM:52.9% PROC:722 | Rate:0.00 Gap:0.000
2026-03-08 20:19:49 | Suspicion:61.0% | CPU:10.7% MEM:52.8% PROC:722 | Rate:10.20 Gap:0.278
2026-03-08 20:19:54 | Suspicion:70.0% | CPU:11.5% MEM:52.9% PROC:722 | Rate:14.80 Gap:0.067
2026-03-08 20:19:59 | Suspicion:69.0% | CPU:10.9% MEM:52.9% PROC:723 | Rate:1.80 Gap:0.098
2026-03-08 20:20:04 | Suspicion:72.0% | CPU:5.5% MEM:52.9% PROC:723 | Rate:0.00 Gap:0.000
2026-03-08 20:20:09 | Suspicion:90.0% | CPU:43.7% MEM:53.1% PROC:724 | Rate:22.80 Gap:0.124
2026-03-08 20:20:14 | Suspicion:54.0% | CPU:2.3% MEM:53.1% PROC:724 | Rate:2.80 Gap:0.354
2026-03-08 20:20:19 | Suspicion:58.0% | CPU:7.5% MEM:52.9% PROC:728 | Rate:4.80 Gap:0.209
20:44:32 | HIGH RISK | Score:80.0% | CPU:7.3% MEM:53.6% PROC:839 | Rate:0.00 Gap:0.000
20:44:37 | HIGH RISK | Score:80.0% | CPU:7.2% MEM:53.6% PROC:835 | Rate:0.00 Gap:0.000
20:44:42 | HIGH RISK | Score:79.0% | CPU:1.0% MEM:53.5% PROC:836 | Rate:0.00 Gap:0.000
20:59:44 | HIGH RISK | Score:82.0% | CPU:13.8% MEM:56.0% PROC:901 | Rate:0.00 Gap:0.000 Switch:0
20:59:49 | HIGH RISK | Score:82.0% | CPU:13.8% MEM:56.1% PROC:900 | Rate:0.00 Gap:0.000 Switch:0
20:59:54 | HIGH RISK | Score:93.0% | CPU:27.7% MEM:56.0% PROC:901 | Rate:0.00 Gap:0.000 Switch:1
20:59:59 | HIGH RISK | Score:89.0% | CPU:27.4% MEM:58.2% PROC:901 | Rate:0.00 Gap:0.000 Switch:1
21:00:04 | HIGH RISK | Score:89.0% | CPU:76.4% MEM:58.1% PROC:902 | Rate:0.00 Gap:0.000 Switch:1
21:00:09 | HIGH RISK | Score:86.0% | CPU:18.4% MEM:58.2% PROC:902 | Rate:0.00 Gap:0.000 Switch:1
21:00:14 | HIGH RISK | Score:80.0% | CPU:3.1% MEM:56.0% PROC:903 | Rate:0.00 Gap:0.000 Switch:0
21:00:19 | HIGH RISK | Score:80.0% | CPU:0.8% MEM:56.0% PROC:903 | Rate:0.00 Gap:0.000 Switch:0
21:00:44 | HIGH RISK | Score:94.0% | CPU:22.0% MEM:56.9% PROC:903 | Rate:0.00 Gap:0.000 Switch:0
21:00:49 | HIGH RISK | Score:81.0% | CPU:4.4% MEM:57.2% PROC:905 | Rate:0.00 Gap:0.000 Switch:1
21:00:54 | HIGH RISK | Score:90.0% | CPU:76.0% MEM:57.1% PROC:903 | Rate:0.00 Gap:0.000 Switch:0
21:00:59 | HIGH RISK | Score:81.0% | CPU:13.7% MEM:57.1% PROC:904 | Rate:0.00 Gap:0.000 Switch:0
21:01:04 | HIGH RISK | Score:81.0% | CPU:61.6% MEM:58.5% PROC:904 | Rate:3.00 Gap:0.233 Switch:0
21:01:09 | HIGH RISK | Score:88.0% | CPU:33.9% MEM:57.1% PROC:905 | Rate:4.20 Gap:0.240 Switch:1
21:01:14 | HIGH RISK | Score:80.0% | CPU:77.9% MEM:57.9% PROC:905 | Rate:3.60 Gap:0.285 Switch:1
21:01:19 | HIGH RISK | Score:72.0% | CPU:10.7% MEM:57.6% PROC:909 | Rate:1.20 Gap:0.233 Switch:1
21:09:33 | HIGH RISK | Score:80.0% | CPU:6.0% MEM:56.1% PROC:943 | Rate:0.00 Gap:0.000
21:09:38 | HIGH RISK | Score:82.0% | CPU:9.8% MEM:56.1% PROC:944 | Rate:0.00 Gap:0.000
21:09:43 | HIGH RISK | Score:93.0% | CPU:21.4% MEM:55.8% PROC:943 | Rate:0.00 Gap:0.000
21:09:48 | HIGH RISK | Score:83.0% | CPU:8.9% MEM:55.4% PROC:943 | Rate:0.00 Gap:0.000
21:09:53 | HIGH RISK | Score:64.0% | CPU:8.8% MEM:55.4% PROC:943 | Rate:0.40 Gap:0.313
21:15:50 | HIGH RISK | Score:83.0% | CPU:13.5% MEM:57.1% PROC:969 | Rate:0.00 Gap:0.000 Switch:4
21:15:56 | HIGH RISK | Score:71.0% | CPU:9.4% MEM:58.1% PROC:969 | Rate:0.00 Gap:0.000 Switch:2
