keystroke_rate,avg_key_gap,cpu_usage,memory_usage,process_count,window_switches,label
0.0,0.0,3.2,51.0,256,0,0
0.0,0.0,2.0,50.9,256,0,0
0.0,0.0,5.5,51.7,256,0,0
0.0,0.0,3.8,51.5,256,0,0
0.0,0.0,3.0,51.4,256,1,0
0.0,0.0,3.4,51.8,257,1,0
0.0,0.0,3.6,51.7,257,1,0
0.0,0.0,3.6,51.8,257,1,0
0.0,0.0,9.2,53.0,258,1,0
0.0,0.0,4.6,52.9,258,1,0
0.0,0.0,4.2,52.3,258,1,0
0.0,0.0,1.6,52.0,258,1,0
0.0,0.0,2.3,52.0,258,1,0
0.0,0.0,4.6,51.4,258,1,0
1.1995163388175467,0.4560081005096436,2.5,51.5,258,1,0
2.3977156468094227,0.42440407926386053,2.3,51.3,258,1,0
2.196802872635093,0.43477458953857423,1.9,51.2,258,1,0
0.0,0.0,5.8,51.5,258,2,0
0.19992789961315277,0.0,5.0,51.8,258,3,0
1.199268767846372,0.42566404342651365,3.1,51.6,257,3,0
1.998691271374773,0.3200451268090142,2.4,51.3,257,3,0
2.1992849957894665,0.4418952465057373,2.1,51.1,257,3,0
2.3969704580802023,0.36902351812882855,2.5,51.2,257,3,0
1.3989117028983695,0.7307721376419067,4.2,51.1,257,3,0
2.7980761785307773,0.3388773477994479,2.2,51.0,257,3,0
2.1987923769665767,0.26482064723968507,2.1,51.0,257,3,0
2.7981284452580626,0.291949437214778,2.1,50.9,257,3,0
2.198264576514779,0.41868205070495607,2.3,50.9,257,3,0
2.5985359048723233,0.3434242208798726,1.9,50.9,257,3,0
1.5988650177231385,0.324242319379534,1.6,50.9,257,3,0
1.7982845934252036,0.5586570203304291,1.7,50.9,257,3,0
1.7989956550059887,0.5127863883972168,2.0,50.9,257,3,0
2.1984840260743588,0.44056928157806396,2.2,51.1,257,3,0
2.5986213559529148,0.3132513761520386,2.1,51.1,257,3,0
2.3984046104280723,0.42272632772272284,2.3,51.1,257,3,0
0.1986430170105474,0.0,1.4,51.1,257,3,0
0.9991028735060219,0.5531418323516846,1.5,50.9,257,3,0
1.5982157979840088,0.4655454839978899,2.1,50.9,257,3,0
1.9987071770259688,0.47671235932244194,1.9,50.9,257,3,0
1.79871131717965,0.5931479930877686,2.5,50.9,257,3,0
0.599724066852519,0.568124532699585,1.8,50.9,257,3,0
1.3989853588434216,0.3174477815628052,1.8,50.9,257,3,0
2.398234446448387,0.3453788757324219,2.2,51.0,257,3,0
2.3981196079810316,0.4411328705874356,2.1,50.9,257,3,0
1.9968959421721044,0.4980658425225152,2.2,51.1,257,3,0
2.99708187985874,0.3241405827658517,2.2,51.0,257,3,0
1.9988743445392128,0.20976389778984916,4.7,51.5,257,3,0
0.0,0.0,6.0,51.8,258,3,0
0.3998353872902935,1.198901653289795,9.3,52.1,259,3,0
0.0,0.0,11.0,54.0,259,3,0
0.0,0.0,9.5,54.3,259,3,0
0.9991296244092782,0.53837651014328,6.7,54.5,259,3,0
0.0,0.0,4.6,54.3,259,3,0
0.0,0.0,4.7,54.2,259,3,0
0.0,0.0,6.4,54.3,259,4,0
0.0,0.0,7.9,53.8,259,4,0
0.0,0.0,7.1,53.9,259,5,0
0.0,0.0,8.5,53.9,259,5,0
0.0,0.0,7.0,54.2,260,5,0
0.0,0.0,5.4,53.9,259,5,0
0.0,0.0,4.6,53.8,259,5,0
0.0,0.0,5.8,53.6,259,5,0
0.0,0.0,4.9,53.6,258,5,0
0.0,0.0,5.5,53.5,257,5,0
0.0,0.0,9.0,53.5,256,5,0
0.0,0.0,5.7,53.5,256,5,0
0.0,0.0,7.2,54.8,259,6,0
0.0,0.0,6.6,54.6,259,6,0
0.0,0.0,9.1,54.9,256,6,0
0.0,0.0,7.1,54.7,257,6,0
0.0,0.0,5.9,54.8,257,6,0
0.0,0.0,5.9,54.7,257,6,0
0.0,0.0,6.3,54.7,257,6,0
0.0,0.0,5.5,54.7,257,6,0
0.0,0.0,4.9,54.6,257,6,0
0.0,0.0,5.2,54.8,257,6,0
0.0,0.0,5.9,54.7,257,6,0
0.0,0.0,6.1,54.7,257,6,0
0.0,0.0,6.1,54.6,256,6,0
0.0,0.0,5.8,54.5,256,6,0
0.0,0.0,5.5,54.5,256,6,0
0.0,0.0,5.6,54.5,256,6,0
0.0,0.0,5.9,54.5,256,6,0
0.0,0.0,5.4,54.5,256,6,0
0.0,0.0,5.5,54.5,256,6,0
0.0,0.0,4.9,54.5,256,6,0
0.0,0.0,5.8,54.5,258,6,0
0.0,0.0,7.0,54.9,259,6,0
0.0,0.0,5.2,54.9,259,6,0
0.0,0.0,4.6,54.8,259,6,0
0.0,0.0,5.9,54.8,259,6,0
0.0,0.0,6.0,54.8,259,6,0
0.0,0.0,5.4,54.7,259,6,0
0.0,0.0,5.8,54.4,258,6,0
0.0,0.0,6.7,54.4,258,6,0
0.0,0.0,5.8,54.4,258,6,0
0.0,0.0,4.9,54.4,258,6,0
0.0,0.0,5.0,54.4,258,6,0
0.0,0.0,4.8,54.4,257,6,0
