keystroke_rate,avg_key_gap,cpu_usage,memory_usage,process_count,window_switches,label
0.0,0.0,12.3,73.6,296,0,0
0.0,0.0,13.5,73.5,295,1,0
0.0,0.0,11.9,73.4,295,2,0
0.0,0.0,16.5,73.9,295,3,0
1.5993993344708304,0.29527630124773296,14.3,73.8,295,3,0
0.7996671536167183,0.582715113957723,7.3,73.9,295,3,0
0.9994268366544512,0.27165472507476807,11.7,74.2,295,3,0
1.3992034392423098,0.714846690495809,5.7,74.0,295,3,0
2.598255689532617,0.36631037791570026,4.9,73.8,295,3,0
0.9990156336282113,0.3607622981071472,8.9,74.0,295,3,0
0.0,0.0,9.8,73.7,295,3,0
0.0,0.0,6.3,73.7,295,3,0
0.9993884967236539,0.9862701892852783,4.7,73.5,295,3,0
1.3988040658521306,0.6608399550120035,6.1,73.5,296,3,0
2.598918744752504,0.2908730705579122,6.1,73.6,296,3,0
1.7993044394926563,0.5364719331264496,8.0,73.5,296,3,0
2.399139369703375,0.3980365666476163,9.1,73.4,296,3,0
0.3998524256813634,0.7012264728546143,13.7,73.6,296,3,0
0.0,0.0,6.1,73.7,296,3,0
1.599356109445951,0.3630302292960031,8.3,73.6,296,3,0
3.394195327024282,0.2937300056219101,6.3,73.6,296,3,0
1.3976840913538715,0.26272881031036377,12.6,73.7,296,3,0
0.0,0.0,10.7,73.7,296,3,0
0.0,0.0,4.9,73.4,296,3,0
0.3997956557448421,0.6180708408355713,7.1,73.4,296,3,0
1.1988908348094476,0.7290814876556396,6.7,73.3,295,3,0
3.9982856471758175,0.21732961504082932,7.0,73.4,295,3,0
2.3976217590412343,0.4080346931110729,6.7,73.4,295,3,0
2.395660365028045,0.3931665637276389,6.4,73.4,295,3,0
2.399233833838214,0.37699261578646576,10.1,73.2,295,3,0
2.5982460322819225,0.3810132145881653,7.1,73.3,295,3,0
1.598649136479018,0.5751195294516427,8.3,73.6,294,3,0
0.0,0.0,15.3,73.5,294,3,0
0.0,0.0,9.2,73.5,294,3,0
0.5994577258816861,1.0267448425292969,12.4,73.3,294,3,0
2.1977546171937945,0.3687604427337646,6.3,73.3,294,3,0
2.1912408960193015,0.4362703561782837,7.7,73.3,294,3,0
2.9965370144328216,0.32715693541935514,10.2,73.1,294,3,0
1.798901351522908,0.5622837841510773,5.8,73.1,293,3,0
1.598656448368907,0.31178079332624165,12.3,73.4,293,3,0
0.0,0.0,9.4,73.5,293,3,0
0.0,0.0,5.8,73.3,292,3,0
0.0,0.0,5.3,73.1,292,3,0
0.0,0.0,10.2,73.2,293,3,0
0.0,0.0,5.9,73.1,294,3,0
1.5983325805569923,0.3358236721583775,8.2,73.1,294,3,0
3.1887753208655543,0.32115950584411623,6.4,73.1,294,3,0
1.5962040194006173,0.42233010700770784,7.6,73.1,294,3,0
1.7976626079562306,0.5839714407920837,7.5,73.1,294,3,0
2.1981406775722765,0.42139520645141604,7.5,73.1,294,3,0
2.199125551797083,0.4444813966751099,8.0,73.1,294,3,0
2.398358667202392,0.3709834488955411,6.8,73.2,294,3,0
2.796942657781268,0.3064959966219388,6.3,73.1,294,3,0
2.597054408256779,0.40589823325475055,9.5,73.4,294,3,0
2.3960127616230067,0.40352895043113013,6.8,73.4,294,3,0
0.7994370800323087,0.2805507183074951,13.1,73.6,294,3,0
0.0,0.0,12.0,73.5,292,3,0
0.0,0.0,5.3,73.3,292,3,0
0.0,0.0,6.8,73.1,292,3,0
0.0,0.0,9.1,73.2,292,3,0
0.0,0.0,6.1,73.2,292,3,0
1.3974993438540713,0.4255919059117635,6.3,73.2,292,3,0
2.197510506886358,0.35822718143463134,6.7,73.2,292,3,0
0.5997421896057464,1.194766640663147,4.7,73.1,292,3,0
1.998284477532697,0.5184801684485542,7.2,73.1,292,3,0
1.1992118484064775,0.35341587066650393,12.2,73.3,291,3,0
0.0,0.0,10.5,73.4,291,3,0
0.0,0.0,5.1,73.3,291,3,0
0.0,0.0,8.4,73.2,291,3,0
0.0,0.0,18.1,73.5,292,3,0
0.0,0.0,41.2,76.2,293,3,0
0.0,0.0,29.3,77.4,293,3,0
0.0,0.0,18.4,77.4,293,3,0
0.0,0.0,23.4,77.1,293,3,0
0.0,0.0,17.9,76.8,293,3,0
0.0,0.0,23.1,77.1,293,3,0
0.0,0.0,17.9,76.5,293,3,0
0.0,0.0,21.0,76.8,295,4,0
0.0,0.0,13.5,76.7,295,5,0
0.0,0.0,9.3,76.6,295,5,0
0.0,0.0,8.7,76.6,294,5,0
0.0,0.0,8.2,76.4,294,5,0
0.0,0.0,9.2,76.4,294,5,0
0.0,0.0,10.3,76.4,294,5,0
0.0,0.0,22.1,76.6,294,5,0
0.0,0.0,19.6,76.5,294,5,0
0.0,0.0,16.8,76.8,294,5,0
0.0,0.0,17.1,75.9,294,5,0
0.0,0.0,10.0,75.6,294,5,0
0.0,0.0,9.6,75.3,294,5,0
0.0,0.0,10.2,74.8,294,5,0
0.0,0.0,9.5,74.9,293,5,0
0.0,0.0,7.8,74.9,293,5,0
0.0,0.0,7.8,74.9,293,5,0
0.0,0.0,7.2,74.9,293,5,0
0.0,0.0,6.4,74.8,293,5,0
0.0,0.0,9.8,74.8,293,5,0
0.0,0.0,11.7,74.9,293,5,0
0.0,0.0,11.2,74.9,293,5,0
0.0,0.0,18.3,71.5,294,6,0
0.0,0.0,24.7,70.7,294,12,0
