keystroke_rate,avg_key_gap,cpu_usage,memory_usage,process_count,window_switches,label
0.0,0.0,55.2,42.2,220,0,0
3.1523775957469287,0.27456207275390626,21.7,42.5,219,0,0
3.7959491090269077,0.18755736615922716,23.2,42.1,223,0,0
0.0,0.0,44.4,43.2,225,0,0
0.0,0.0,60.0,44.4,225,1,0
0.19975842127416824,0.0,39.5,43.9,227,2,0
0.19978622422830186,0.0,23.8,43.9,226,3,0
0.0,0.0,16.8,44.0,227,4,0
0.0,0.0,12.3,44.1,226,4,0
0.0,0.0,42.9,44.0,227,4,0
0.0,0.0,27.7,43.9,228,4,0
0.0,0.0,39.2,43.8,228,4,0
0.0,0.0,14.9,43.6,223,4,0
0.0,0.0,15.0,43.4,222,4,0
0.0,0.0,15.5,43.3,222,4,0
0.0,0.0,11.6,43.4,222,4,0
0.0,0.0,17.9,43.4,223,4,0
0.0,0.0,19.0,43.3,222,4,0
0.0,0.0,11.0,43.3,222,4,0
0.0,0.0,24.7,41.4,222,4,0
0.0,0.0,18.6,41.6,220,4,0
0.0,0.0,11.8,41.7,220,4,0
0.0,0.0,13.3,41.6,220,4,0
0.0,0.0,16.3,41.7,224,4,0
0.0,0.0,20.2,41.7,225,4,0
0.0,0.0,10.8,41.7,222,4,0
0.0,0.0,16.8,41.7,222,4,0
0.0,0.0,16.1,41.8,222,4,0
0.19975752698864827,0.0,24.3,42.8,222,4,0
0.0,0.0,16.9,41.9,221,4,0
0.0,0.0,16.8,41.9,221,4,0
0.0,0.0,10.8,41.9,222,4,0
0.0,0.0,13.0,41.9,221,4,0
0.0,0.0,14.3,41.8,217,4,0
0.0,0.0,14.2,41.8,219,4,0
0.0,0.0,9.6,41.8,217,4,0
0.0,0.0,15.7,41.9,217,4,0
0.0,0.0,16.2,41.8,217,4,0
0.0,0.0,9.8,41.9,217,4,0
0.19982363055221933,0.0,16.4,42.2,217,4,0
0.0,0.0,15.7,42.2,216,4,0
0.0,0.0,12.3,42.0,216,4,0
0.0,0.0,14.4,42.1,216,4,0
0.0,0.0,18.3,42.0,216,4,0
0.0,0.0,15.0,42.2,219,4,0
0.0,0.0,10.2,42.1,219,4,0
0.0,0.0,17.1,42.1,219,4,0
0.0,0.0,16.9,42.1,219,4,0
0.0,0.0,10.1,42.1,219,4,0
0.3996168377221624,0.4398515224456787,13.9,42.3,219,4,0
0.0,0.0,14.6,42.3,219,4,0
0.1998003855858424,0.0,11.1,42.2,219,4,0
0.0,0.0,12.2,42.2,219,4,0
0.0,0.0,21.3,41.0,219,4,0
0.19977583289624623,0.0,14.0,41.5,219,4,0
0.19976714573490667,0.0,8.4,41.3,219,4,0
0.0,0.0,15.2,41.3,214,4,0
0.0,0.0,17.7,41.4,214,4,0
0.0,0.0,9.9,41.4,214,4,0
0.0,0.0,14.2,41.4,214,4,0
0.3996098703153212,1.2240264415740967,17.2,41.8,215,4,0
0.1997967784366211,0.0,14.6,41.9,215,4,0
0.0,0.0,11.1,41.6,215,4,0
0.0,0.0,16.0,41.7,215,4,0
0.5989203080574789,1.4960020780563354,15.7,41.9,214,4,0
0.39962944058887045,3.6639647483825684,11.0,41.9,214,4,0
0.19983641663721033,0.0,16.8,41.9,213,4,0
0.0,0.0,15.2,41.7,215,4,0
0.19971459167897135,0.0,12.8,42.0,216,4,0
0.399615809728825,2.895930528640747,22.4,41.6,216,4,0
0.19972912331936601,0.0,29.5,41.6,216,4,0
0.5994843721816343,2.3719682693481445,14.2,41.6,216,4,0
0.5994317958512436,1.707984447479248,14.1,41.8,216,4,0
0.3995596017744533,1.1599173545837402,18.7,41.8,215,4,0
0.3994881131850477,1.943927526473999,18.7,41.9,215,4,0
0.19979553166863098,0.0,8.7,42.0,216,4,0
0.598821916835556,1.5120197534561157,17.2,42.0,215,4,0
0.0,0.0,16.9,41.8,210,4,0
0.0,0.0,11.4,41.5,209,4,0
0.0,0.0,14.4,41.6,209,4,0
0.39950405652010706,0.8798186779022217,15.5,41.6,209,4,0
0.0,0.0,14.0,41.6,209,4,0
0.0,0.0,11.6,41.6,209,4,0
0.0,0.0,15.5,41.7,209,4,0
0.0,0.0,25.7,41.7,210,4,0
0.1997917438735449,0.0,10.0,42.1,212,4,0
0.0,0.0,15.2,41.8,209,4,0
0.0,0.0,18.3,42.0,213,4,0
0.0,0.0,11.2,41.6,216,4,0
0.1997607521623582,0.0,15.5,41.9,216,4,0
0.0,0.0,14.9,41.7,215,4,0
0.0,0.0,13.5,41.6,215,4,0
