keystroke_rate,avg_key_gap,cpu_usage,memory_usage,process_count,window_switches,label
0.0,0.0,5.5,54.3,264,0,1
0.0,0.0,8.8,55.1,264,1,1
8.396051699549629,0.09342376197256692,8.6,55.5,264,1,1
7.796523233162092,0.12961583388479134,7.4,55.5,264,1,1
8.593795458934606,0.11542727266039167,7.6,55.7,264,1,1
8.56453306965982,0.11730405262538365,6.8,55.5,263,1,1
7.39501604286433,0.09437939855787489,6.3,55.4,262,1,1
6.3964710631275,0.1557188803149808,6.4,55.3,262,1,1
6.797318867603645,0.14556263432358252,6.2,55.2,260,1,1
0.7996579298358651,0.5410677591959635,6.0,55.2,260,1,1
0.19968502137626995,0.0,8.1,55.5,260,1,1
0.0,0.0,10.1,55.4,259,1,1
0.0,0.0,8.2,55.5,259,2,1
0.0,0.0,7.1,55.3,259,3,1
0.5977196808573554,0.14992570877075195,9.9,56.6,260,4,1
0.0,0.0,18.0,59.1,266,5,1
0.0,0.0,19.3,61.0,265,5,1
0.0,0.0,25.3,65.5,282,5,1
0.0,0.0,15.5,62.3,268,5,1
0.0,0.0,12.3,62.1,268,5,1
0.0,0.0,16.2,63.8,275,5,1
0.0,0.0,11.1,60.8,267,6,1
0.0,0.0,9.4,60.3,269,7,1
0.0,0.0,9.3,59.1,268,8,1
0.0,0.0,9.3,58.8,269,9,1
0.0,0.0,6.7,58.8,266,9,1
0.0,0.0,12.3,56.9,265,9,1
0.0,0.0,6.0,59.3,265,10,1
0.0,0.0,9.6,59.3,267,11,1
0.0,0.0,8.2,59.4,267,12,1
0.0,0.0,6.7,59.1,266,12,1
0.0,0.0,8.8,59.1,265,13,1
0.0,0.0,8.7,59.5,266,14,1
0.0,0.0,8.0,59.6,266,15,1
0.0,0.0,7.5,59.2,265,16,1
6.996978538625441,0.11971064876107608,7.4,58.9,265,17,1
7.796749545036685,0.12685086225208483,6.7,59.0,265,17,1
1.9991861795227726,0.49184955490960014,7.6,59.1,265,17,1
3.79597876242704,0.036773747868008085,8.2,58.9,264,17,1
0.0,0.0,9.3,59.4,265,18,1
0.0,0.0,7.5,59.4,264,18,1
0.0,0.0,13.4,60.6,266,19,1
0.0,0.0,13.6,61.7,265,19,1
0.0,0.0,15.3,63.6,265,19,1
0.0,0.0,13.9,63.4,265,19,1
0.0,0.0,12.0,62.9,265,19,1
0.0,0.0,13.5,64.0,267,19,1
0.0,0.0,24.2,67.7,270,19,1
0.0,0.0,17.9,68.5,270,19,1
0.0,0.0,17.6,69.2,270,19,1
0.0,0.0,13.8,69.4,270,19,1
0.0,0.0,13.7,69.4,271,19,1
0.0,0.0,13.8,70.7,272,19,1
0.0,0.0,19.5,71.1,272,19,1
0.0,0.0,18.4,72.4,273,19,1
0.0,0.0,14.0,73.4,273,19,1
0.0,0.0,16.8,75.6,273,19,1
0.0,0.0,16.1,75.4,273,19,1
0.0,0.0,18.8,76.3,273,19,1
0.0,0.0,19.9,76.9,273,19,1
0.0,0.0,19.0,77.1,274,19,1
0.0,0.0,18.8,76.9,275,19,1
0.0,0.0,11.2,76.6,272,19,1
0.0,0.0,17.0,77.2,273,19,1
0.0,0.0,17.9,77.7,273,20,1
6.5974096741077135,0.11287117004394531,11.0,77.7,273,20,1
1.5991605968546783,0.1309236798967634,10.9,77.1,272,21,1
0.0,0.0,11.4,77.8,274,22,1
0.0,0.0,15.3,77.6,275,23,1
0.0,0.0,21.1,79.2,283,24,1
0.0,0.0,17.3,79.9,284,25,1
0.0,0.0,25.7,82.6,297,26,1
0.0,0.0,23.2,81.1,291,27,1
